id,name,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,latitude,longitude,availability_365,calculated_host_listings_count
1338546416879451012,"Depa CDMX near:GNP, Bellas Artes, Roma &Aeropuerto",Cuauhtémoc,Entire home/apt,1370.0,1.0,38,4.5,19.41124,-99.12851,207,1
1338570732122298274,Bed & Breakfast in front of Jardin Pushkin.,Cuauhtémoc,Private room,1063.01,1.0,40,4.8,19.419883868111658,-99.15400281904908,335,1
1338571946998989491,Disfruta la Zona de Polanco,Miguel Hidalgo,Entire home/apt,1375.12,2.0,12,4.92,19.44026281236928,-99.18581576721188,291,1
1338577794379477094,Arquimedes Grand - Bright 2 Bedroom Apt in Polanco,Miguel Hidalgo,Entire home/apt,1957.52,3.0,3,3.33,19.4357841,-99.1908525,174,19
1338649746897110912,Amazing house in the heart of las lomas,Miguel Hidalgo,Private room,4850.0,2.0,0,4.84,19.415096209765927,-99.21708387707396,331,4
1338678246085540759,Apartamento en el corazón de CDMX,Cuauhtémoc,Entire home/apt,2454.0,2.0,10,4.9,19.4079144,-99.1492268,363,2
1331187714957577804,CDMX | 5 Bedrooms Near Foro Sol Metro Station,Venustiano Carranza,Private room,1005.15,1.0,8,4.88,19.41613284511376,-99.12381559610368,353,35
1331239220251925029,Hermoso departamento frente WTC,Benito Juárez,Private room,1028.0,1.0,0,4.84,19.396193243199104,-99.1705960081637,365,1
1331372941157800389,Loft moderno con vista a Reforma y al Monumento,Cuauhtémoc,Entire home/apt,2396.0,2.0,28,4.82,19.4342534,-99.1547935,261,1
1344602031152713041,Roma Norte Grand Stay 3BR / AC,Cuauhtémoc,Entire home/apt,4400.98,2.0,63,5.0,19.414309,-99.1580519,147,2
1344941840175927793,La Casita Azul int-2,Cuauhtémoc,Private room,910.67,3.0,8,4.25,19.40444337706937,-99.16723277938549,108,8
1338681842933000661,Deluxe 1BR King bed with Desk & Terrace,Cuauhtémoc,Entire home/apt,9440.0,1.0,2,5.0,19.4191676,-99.1567069,307,11
1338699709392393604,Hermosa y Elegante Casa en la Condesa con Roof Top,Cuauhtémoc,Entire home/apt,7240.77,2.0,21,4.71,19.416623117088463,-99.17625744047544,98,18
1338713942350713867,Deluxe 1BR King bed with Desk & Rooftop,Cuauhtémoc,Entire home/apt,11961.9,1.0,1,5.0,19.4191676,-99.1567069,79,11
1338725881512327458,Suite Dumas Polanco,Miguel Hidalgo,Private room,1325.0,1.0,28,4.82,19.43829,-99.19501,359,17
1338739248709878443,Deluxe 1BR King bed with Rooftop,Cuauhtémoc,Entire home/apt,6021.0,1.0,10,5.0,19.4191676,-99.1567069,362,11
1338746923352040049,Departamento GNP Estadio.,Venustiano Carranza,Entire home/apt,1883.0,1.0,6,5.0,19.42038,-99.09815,92,5
1338765478669856821,Deluxe 1BR King bed with Desk & Balcony,Cuauhtémoc,Entire home/apt,8141.0,1.0,1,5.0,19.4191676,-99.1567069,307,11
1338772578438260521,Deluxe 1BR King bed with Balcony,Cuauhtémoc,Entire home/apt,5415.3,1.0,4,5.0,19.4191676,-99.1567069,365,11
1338845264818613478,hermosa casa en el pedregal,Coyoacán,Entire home/apt,5706.0,1.0,6,5.0,19.3095562,-99.1955529,29,1
1339081237774064470,"NIU | Cozy 2 Bedroom Loft near WTC, Condesa & Roma",Benito Juárez,Entire home/apt,1665.0,1.0,19,4.42,19.39856,-99.172189,362,19
1339181814928928153,Hermoso depto. Muy cerca del Ángel & Reforma.,Cuauhtémoc,Entire home/apt,2511.0,1.0,63,4.86,19.434633331027992,-99.16308000499902,114,1
1339355276421715802,Departamento céntrico,Cuauhtémoc,Entire home/apt,913.0,1.0,20,4.6,19.45008872716166,-99.13572379272918,359,2
1344949333098873995,Hermoso Departamento Excelente Ubicacion,Cuauhtémoc,Entire home/apt,1415.5,2.0,27,4.67,19.42977,-99.15202,58,18
1344959423755351911,La Casita Azul int-4,Cuauhtémoc,Private room,638.0,2.0,2,4.5,19.403008109030843,-99.16714758940824,176,8
1344962392847739715,Depto 2hab cerca de la Colonia Roma,Benito Juárez,Entire home/apt,1187.0,2.0,30,4.63,19.40366,-99.14167,178,2
1344966681663704617,Cabaña El Santuario del Silencio,Tlalpan,Entire home/apt,3636.67,3.0,13,4.77,19.18772379306324,-99.22662749907226,151,1
1345010237238997180,"Plaza Miyana a unos pasos, Hospital Español, Carso",Miguel Hidalgo,Entire home/apt,3364.19,1.0,17,4.59,19.4416088,-99.1959615,255,10
1345089798728210335,Departamento en el corazón de la Roma,Cuauhtémoc,Entire home/apt,2168.5,2.0,9,4.56,19.41086,-99.16551,285,3
